time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-01-01T00:47:18.330Z,32.9685,-115.5468333,3.06,1.46,ml,20,86,0.06786,0.22,ci,ci37775952,2017-01-01T00:51:12.692Z,"2km SW of Brawley, CA",earthquake,0.39,0.62,0.153,27,automatic,ci,ci
2017-01-01T00:59:44.900Z,32.9718333,-115.5521667,6.17,1.95,ml,27,86,0.07054,0.22,ci,ci37775976,2017-01-01T01:10:43.390Z,"2km WSW of Brawley, CA",earthquake,0.35,1.11,0.269,27,automatic,ci,ci
2017-01-01T01:04:17.500Z,32.9721667,-115.5485,5.37,2.05,ml,25,76,0.07125,0.21,ci,ci37775992,2017-01-01T01:51:44.675Z,"2km WSW of Brawley, CA",earthquake,0.31,0.8,0.256,26,reviewed,ci,ci
2017-01-01T01:09:50.110Z,32.9771667,-115.5403333,5.66,1.69,ml,20,95,0.07023,0.25,ci,ci37776000,2017-01-01T01:51:39.001Z,"1km W of Brawley, CA",earthquake,0.47,1.01,0.231,28,reviewed,ci,ci
2017-01-01T01:11:18.240Z,32.96,-115.5531667,5.41,1.4,ml,16,89,0.05871,0.2,ci,ci37776008,2017-01-01T01:46:46.483Z,"3km SW of Brawley, CA",earthquake,0.44,0.82,0.155,27,reviewed,ci,ci
2017-01-01T01:15:12.820Z,32.9665,-115.5418333,3.12,1.16,ml,14,77,0.06677,0.17,ci,ci37776016,2017-01-03T20:36:55.972Z,"2km SW of Brawley, CA",earthquake,0.28,0.39,0.193,12,reviewed,ci,ci
2017-01-01T01:16:53.690Z,32.9576667,-115.5558333,2.48,1.36,ml,13,95,0.05619,0.23,ci,ci37776024,2017-01-01T01:40:23.910Z,"3km SW of Brawley, CA",earthquake,0.55,0.83,0.174,26,reviewed,ci,ci
2017-01-01T01:21:01.300Z,45.6661667,-112.0598333,5.91,-0.23,md,5,111,0.214,0.11,mb,mb80195649,2017-01-03T18:46:03.500Z,"22km S of Whitehall, Montana",earthquake,0.46,8.44,,1,reviewed,mb,mb
2017-01-01T01:29:27.660Z,32.9573333,-115.5508333,5.51,1.44,ml,20,92,0.05632,0.2,ci,ci37776048,2017-01-01T01:38:51.242Z,"3km SW of Brawley, CA",earthquake,0.38,0.81,0.242,28,reviewed,ci,ci
2017-01-01T01:37:40.280Z,32.9626656,-115.55233,2.82,1.32,ml,11,98,0.06143,0.2,ci,ci37776064,2017-01-01T01:39:51.277Z,"3km SW of Brawley, CA",earthquake,0.74,0.9,0.592,7,automatic,ci,ci
2017-01-01T01:37:43.880Z,32.9595,-115.5588333,3.19,1.91,ml,19,91,0.05789,0.21,ci,ci37776072,2017-01-01T01:41:47.506Z,"3km SW of Brawley, CA",earthquake,0.37,0.56,0.199,26,automatic,ci,ci
2017-01-01T01:42:35.140Z,32.9788333,-115.546,13.61,3.11,ml,47,76,0.0665,0.27,ci,ci37776080,2017-01-03T16:44:33.344Z,"2km W of Brawley, CA",earthquake,0.24,0.54,0.13,224,reviewed,ci,ci
2017-01-01T01:49:46.120Z,32.9665,-115.5458333,4.72,1.32,ml,16,116,0.06605,0.2,ci,ci37776088,2017-01-01T01:53:31.083Z,"2km SW of Brawley, CA",earthquake,0.44,1.13,0.273,18,automatic,ci,ci
2017-01-01T01:50:01.810Z,32.9731667,-115.5425,3.2,1.32,ml,12,78,0.07287,0.14,ci,ci37776096,2017-01-03T17:44:42.839Z,"1km WSW of Brawley, CA",earthquake,0.23,0.32,0.203,13,reviewed,ci,ci
