time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1960-01-18T21:00:43.350Z,34.9296667,-118.8118333,4.59,3.37,ml,6,142,0.09296,0.36,ci,ci3351635,2016-01-28T19:56:18.970Z,"11km E of Grapevine, CA",earthquake,1.18,1.75,0.067,10,reviewed,ci,ci
1960-01-19T02:17:00.000Z,51.531,158.276,52.9,5.5,mw,,,,,iscgem,iscgem878042,2015-05-13T18:52:54.000Z,"near the east coast of the Kamchatka Peninsula, Russia",earthquake,,,,,automatic,iscgem,iscgem
1960-01-20T02:37:30.200Z,34.3815,-118.9115,6,2.33,ml,7,70,0.4889,0.51,ci,ci3351636,2016-01-28T19:30:36.850Z,"2km SSE of Fillmore, CA",earthquake,2.54,31.61,0.329,4,reviewed,ci,ci
1960-01-21T10:42:47.000Z,-15.8,-179.407,25,6,mw,,,,,iscgem,iscgem878057,2015-05-13T18:52:54.000Z,"Fiji region",earthquake,,,,,automatic,iscgem,iscgem
1960-01-21T22:21:10.990Z,33.1288333,-115.9915,6,2.62,mh,4,207,0.648,0.31,ci,ci3351639,2016-01-28T19:38:55.100Z,"13km E of Ocotillo Wells, CA",earthquake,1.61,31.61,0.146,8,reviewed,ci,ci
1960-01-21T23:52:21.090Z,32.8011667,-117.0716667,6,2.69,mh,5,217,0.3577,0.67,ci,ci3351640,2016-01-28T19:43:19.190Z,"6km NW of La Mesa, CA",earthquake,3.26,31.61,0.106,7,reviewed,ci,ci
1960-01-23T03:11:44.240Z,35.4191667,-116.2883333,6,3.38,ml,6,231,1.138,0.39,ci,ci3351642,2016-01-28T19:52:02.420Z,"26km NW of Baker, CA",earthquake,2.46,31.61,0.079,9,reviewed,ci,ci
1960-01-23T04:41:03.000Z,-3.998,127.456,25,6.3,mw,,,,,iscgem,iscgem878081,2015-05-13T18:52:54.000Z,"Seram, Indonesia",earthquake,,,,,automatic,iscgem,iscgem
1960-01-23T07:31:21.000Z,-4.071,127.522,25,6.2,mw,,,,,iscgem,iscgem878083,2015-05-13T18:52:54.000Z,"Banda Sea",earthquake,,,,,automatic,iscgem,iscgem
1960-01-23T16:09:09.460Z,31.9936667,-116.0006667,6,3.65,ml,3,348,0.8897,0.08,ci,ci10086478,2016-01-28T19:43:20.180Z,"60km ENE of Ensenada, B.C., MX",earthquake,3.59,31.61,0.063,5,reviewed,ci,ci
1960-01-23T17:56:40.000Z,-4.119,127.449,35,6.2,mw,,,,,iscgem,iscgem878085,2015-05-13T18:52:54.000Z,"Banda Sea",earthquake,,,,,automatic,iscgem,iscgem
1960-01-24T04:21:49.000Z,-16.094,-179.094,25,6.3,mw,,,,,iscgem,iscgem878090,2015-05-13T18:52:54.000Z,"Fiji region",earthquake,,,,,automatic,iscgem,iscgem
1960-01-24T16:08:32.560Z,33.111,-116.0438333,6,3.35,ml,4,203,0.6813,0.43,ci,ci3351646,2016-01-28T19:43:19.690Z,"9km ESE of Ocotillo Wells, CA",earthquake,1.83,31.61,0.036,4,reviewed,ci,ci
1960-01-25T16:29:35.000Z,-15.935,-179.264,25,6.1,mw,,,,,iscgem,iscgem878104,2015-05-13T18:52:54.000Z,"Fiji region",earthquake,,,,,automatic,iscgem,iscgem
1960-01-26T09:52:14.000Z,40.104,38.701,25,5.3,mw,,,,,iscgemsup,iscgemsup878113,2015-07-13T17:02:23.000Z,"eastern Turkey",earthquake,,,,,automatic,iscgem,iscgem
1960-01-29T01:27:03.570Z,34.6993333,-116.4728333,6,3.05,ml,4,277,1.026,0.57,ci,ci3351647,2016-01-28T19:52:02.930Z,"29km W of Ludlow, CA",earthquake,5.37,31.61,0.015,4,reviewed,ci,ci
1960-01-29T02:07:51.340Z,34.2451667,-118.3568333,0.02,2.28,mh,6,144,0.1816,0.57,ci,ci3351648,2016-01-28T19:47:37.300Z,"3km S of Lake View Terrace, CA",earthquake,1.98,2.35,0.045,8,reviewed,ci,ci
1960-01-30T02:19:35.060Z,34.2675,-118.5861667,6,2.4,ml,5,216,0.3639,0.53,ci,ci3351649,2016-01-28T20:00:39.940Z,"2km NE of Chatsworth, CA",earthquake,3.94,31.61,0.03,5,reviewed,ci,ci
1960-01-30T20:27:58.710Z,34.2876667,-117.8433333,6,2.1,mh,7,119,0.3051,0.63,ci,ci3351650,2016-01-28T19:47:37.780Z,"17km N of Glendora, CA",earthquake,3.73,31.61,0.095,9,reviewed,ci,ci
1960-01-31T05:08:21.000Z,33.093,134.885,20,6.3,mw,,,,,iscgem,iscgem878153,2015-05-13T18:52:54.000Z,"Shikoku, Japan",earthquake,,,,,automatic,iscgem,iscgem
1960-01-31T05:54:48.010Z,34.1251667,-116.6343333,6,3.37,ml,6,206,0.6291,0.36,ci,ci3351651,2016-01-28T19:38:55.570Z,"10km NNW of Morongo Valley, CA",earthquake,1.73,31.61,0.135,6,reviewed,ci,ci
1960-02-01T11:59:45.000Z,35.19,23.035,35,5.5,mw,,,,,iscgem,iscgem878165,2015-05-13T18:52:54.000Z,"Crete, Greece",earthquake,,,,,automatic,iscgem,iscgem
1960-02-03T08:37:18.160Z,32.0766667,-116.043,6,4.64,ml,5,289,0.8034,0.4,ci,ci3351652,2016-01-28T19:31:49.730Z,"59km ENE of Ensenada, B.C., MX",earthquake,4.24,31.61,0.082,9,reviewed,ci,ci
1960-02-04T03:46:38.000Z,-4.617,153.487,50,6.6,mw,,,,,iscgem,iscgem878186,2015-05-13T18:52:54.000Z,"New Ireland region, Papua New Guinea",earthquake,,,,,automatic,iscgem,iscgem
1960-02-04T16:50:32.000Z,38.667,143.014,25,6.1,mw,,,,,iscgem,iscgem878191,2015-05-13T18:52:54.000Z,"off the east coast of Honshu, Japan",earthquake,,,,,automatic,iscgem,iscgem
1960-02-08T12:45:39.000Z,-58.134,-65.672,15,6.4,mw,,,,,iscgem,iscgem878224,2015-05-13T18:52:54.000Z,"Drake Passage",earthquake,,,,,automatic,iscgem,iscgem
1960-02-09T14:01:49.400Z,33.1588333,-116.4613333,6,3.7,ml,7,234,0.3883,0.64,ci,ci3351653,2016-01-28T19:56:19.470Z,"14km SW of Borrego Springs, CA",earthquake,6.46,31.61,0.129,10,reviewed,ci,ci
1960-02-09T23:55:56.000Z,-3.995,127.731,35,6.5,mw,,,,,iscgem,iscgem878240,2015-05-13T18:52:54.000Z,"Seram, Indonesia",earthquake,,,,,automatic,iscgem,iscgem
1960-02-10T23:19:56.000Z,-16.22,-172.558,15,5.9,mw,,,,,iscgem,iscgem878247,2015-05-13T18:52:54.000Z,"Samoa Islands region",earthquake,,,,,automatic,iscgem,iscgem
1960-02-12T21:18:39.210Z,34.3183333,-117.8685,0.01,2.11,mh,6,148,0.1834,0.39,ci,ci3351187,2016-01-28T19:52:03.410Z,"20km N of Glendora, CA",earthquake,2.23,3.3,0.151,11,reviewed,ci,ci
1960-02-13T00:36:02.710Z,34.6286667,-117.1231667,6,2.6,ml,6,186,0.6671,0.5,ci,ci3351188,2016-01-28T19:43:20.650Z,"15km NNE of Apple Valley, CA",quarry blast,1.72,31.61,0.191,4,reviewed,ci,ci
1960-02-16T05:58:22.740Z,33.9598333,-117.7998333,5.96,2.1,ml,6,159,0.3395,0.31,ci,ci3351189,2016-01-28T19:30:37.350Z,"5km SW of Chino Hills, CA",earthquake,1.62,2.57,0.03,3,reviewed,ci,ci
1960-02-16T13:14:35.000Z,21.782,-45.533,15,5.7,mw,,,,,iscgem,iscgem878298,2015-05-13T18:52:54.000Z,"northern Mid-Atlantic Ridge",earthquake,,,,,automatic,iscgem,iscgem
1960-02-16T22:16:22.620Z,35.1131667,-118.4335,0.01,2.57,ml,6,146,0.4527,0.41,ci,ci3351190,2016-04-02T07:20:11.279Z,"2km SSE of Tehachapi, CA",quarry blast,1.57,31.61,0.165,4,reviewed,ci,ci
1960-02-17T12:32:17.000Z,-29.861,-111.881,15,6,mw,,,,,iscgem,iscgem878305,2015-05-13T18:52:54.000Z,"Easter Island region",earthquake,,,,,automatic,iscgem,iscgem
1960-02-17T18:00:47.020Z,34.0951667,-118.249,7.39,2.02,mh,4,232,0.08362,0.22,ci,ci3351191,2016-01-28T19:47:38.280Z,"2km ENE of Silver Lake, CA",earthquake,1.85,1.07,0.176,9,reviewed,ci,ci
1960-02-17T23:24:47.210Z,34.2535,-118.5706667,0.27,2.35,ml,9,121,0.3473,0.47,ci,ci3351192,2016-01-28T19:38:56.090Z,"3km E of Chatsworth, CA",earthquake,1.39,2.19,0.101,6,reviewed,ci,ci
1960-02-18T21:35:16.000Z,52.439,160.39,35,5.8,mw,,,,,iscgem,iscgem878322,2015-05-13T18:52:54.000Z,"off the east coast of the Kamchatka Peninsula, Russia",earthquake,,,,,automatic,iscgem,iscgem
1960-02-19T19:53:54.450Z,34.2916667,-117.858,0.02,2.23,mh,7,146,0.1793,0.32,ci,ci3351193,2016-01-28T19:34:49.280Z,"17km N of Glendora, CA",earthquake,1.49,3.21,0.254,11,reviewed,ci,ci
1960-02-21T00:46:58.000Z,-42.217,173.17,49.7,5.6,mw,,,,,iscgem,iscgem878342,2015-05-13T18:52:54.000Z,"South Island of New Zealand",earthquake,,,,,automatic,iscgem,iscgem
1960-02-21T17:02:51.840Z,35.3506667,-118.5636667,6,3.2,ml,9,112,0.3199,0.68,ci,ci3351194,2016-01-28T19:56:20.030Z,"26km NNW of Tehachapi, CA",earthquake,1.94,31.61,0.095,11,reviewed,ci,ci
1960-02-22T10:54:11.710Z,35.367,-118.5441667,6,3.02,ml,9,112,0.3006,0.58,ci,ci3351195,2016-01-28T19:56:20.590Z,"25km S of Bodfish, CA",earthquake,1.6,31.61,0.108,10,reviewed,ci,ci
1960-02-22T22:57:45.090Z,32.4518333,-115.7661667,6,3.71,ml,3,283,0.7981,0.49,ci,ci3351196,2016-01-28T20:00:40.440Z,"22km SW of Progreso, B.C., MX",earthquake,5.67,31.61,0.121,5,reviewed,ci,ci
1960-02-23T01:02:05.090Z,33.2298333,-118.357,6,2.82,ml,8,235,0.5213,0.41,ci,ci3351198,2016-01-28T19:38:56.590Z,"13km SSW of Avalon, CA",quarry blast,1.8,31.61,0.058,7,reviewed,ci,ci
1960-02-23T07:34:36.000Z,38.841,20.587,25,5.6,mw,,,,,iscgem,iscgem878365,2015-05-13T18:52:54.000Z,"Greece",earthquake,,,,,automatic,iscgem,iscgem
1960-02-23T16:04:55.000Z,-6.184,154.425,25,5.7,mw,,,,,iscgem,iscgem878370,2015-05-13T18:52:54.000Z,"Bougainville region, Papua New Guinea",earthquake,,,,,automatic,iscgem,iscgem
1960-02-24T13:12:34.010Z,34.0111667,-117.5865,4.43,3.79,ml,8,137,0.1762,0.26,ci,ci3351199,2016-01-28T19:43:21.630Z,"6km SE of Ontario, CA",earthquake,1.19,0.97,0.046,12,reviewed,ci,ci
1960-02-24T21:37:12.000Z,-7.247,155.849,50,6.2,mw,,,,,iscgem,iscgem878380,2015-05-13T18:52:54.000Z,"Solomon Islands",earthquake,,,,,automatic,iscgem,iscgem
1960-02-25T01:39:49.740Z,35.3805,-118.6816667,6,3,ml,7,190,0.3287,0.58,ci,ci3351200,2016-01-28T19:34:49.780Z,"23km NE of Arvin, CA",earthquake,2.65,31.61,0.131,10,reviewed,ci,ci
